time,prices,market_caps,total_volumes
2015-08-07 00:00:00.000,2.83162,0.0,90622.0
2015-08-08 00:00:00.000,1.33075,80339475.0,368070.0
2015-08-10 00:00:00.000,0.6875857090838133,41556309.21112176,400464.0745435489
2015-08-11 00:00:00.000,1.067378879429946,64539006.306272194,1518998.2053373822
2015-08-12 00:00:00.000,1.256613175101658,76013261.05415402,2073893.3450314845
2015-08-13 00:00:00.000,1.825395446319752,110468836.22388984,4380142.704000345
2015-08-14 00:00:00.000,1.825974891355639,110555313.26025319,4355618.378552116
2015-08-15 00:00:00.000,1.670949668937766,101215246.3781064,2519633.2708181436
2015-08-16 00:00:00.000,1.476607254205028,89480939.24025029,3032657.656405736
2015-08-17 00:00:00.000,1.20387143115441,87313387.94547918,1880092.2147175823
2015-08-18 00:00:00.000,1.281393051659975,92957858.0620156,1696013.472335737
2015-08-19 00:00:00.000,1.252738651679077,90920695.86547753,1537200.8409894055
2015-08-20 00:00:00.000,1.484195074171873,107749185.84108424,2967730.5022106003
2015-08-21 00:00:00.000,1.40631477379752,102131022.8278611,1742881.8081502889
2015-08-22 00:00:00.000,1.380721536476638,100308763.78229792,914588.6539745613
2015-08-23 00:00:00.000,1.355182100454404,98488001.44464436,1610695.8727506467
2015-08-24 00:00:00.000,1.24657168269902,90625948.31797116,696476.5553267623
2015-08-25 00:00:00.000,1.160828327907264,84423109.08066371,1053169.3862050485
2015-08-26 00:00:00.000,1.119639156482987,81454879.46968535,1151700.041593045
2015-08-27 00:00:00.000,1.133690694008804,82504022.8230964,681460.2394411361
2015-08-28 00:00:00.000,1.188895698722608,86549490.63266213,715178.7899308845
2015-08-29 00:00:00.000,1.174343905252208,85515599.87435573,607200.891453558
2015-08-30 00:00:00.000,1.322350879918967,96321049.6917207,1045589.321256734
2015-08-31 00:00:00.000,1.353368417391325,98608290.53954794,1197102.0492865555
2015-09-01 00:00:00.000,1.350786688734447,98446826.49425755,610368.2430900692
2015-09-02 00:00:00.000,1.278810765308764,93224371.25915022,629746.119316548
2015-09-03 00:00:00.000,1.262770719520856,92075482.63297981,583923.7452450913
2015-09-04 00:00:00.000,1.269520099878085,92596631.55333723,333502.66115673864
2015-09-05 00:00:00.000,1.334976229386974,97402782.61913483,350815.4668948872
2015-09-06 00:00:00.000,1.29888313413515,94801706.70501994,317470.0943419727
2015-09-07 00:00:00.000,1.256223439965584,91718481.31789045,487005.2028033498
