date,prices,market_caps,total_volumes
2017-10-02,0.4845928793704489,47802511.45414805,335845.32196393574
2017-10-03,0.4393789007862316,43342392.82432517,399623.3982774269
2017-10-04,0.4478717268051354,44180164.96322691,320747.1723314189
2017-10-05,0.4427557754895983,43675503.56234638,207597.66899950703
2017-10-06,0.4393112476169457,43488515.16523052,274957.48420847073
2017-10-07,0.4130877833931036,40893891.55862059,353600.26682692097
2017-10-08,0.3348477852594158,33177260.34721947,273250.3919888635
2017-10-09,0.3751021360410149,37170800.56079409,353084.8633140694
2017-10-10,0.3694591240853019,36613713.2371089,185221.02100012448
2017-10-11,0.4106120815445967,40779838.27864165,248991.504353163
2017-10-12,0.4559814825402654,45288356.7146961,1184357.0975134275
2017-10-13,0.4198426257845387,41710610.83433801,419210.1038694373
2017-10-14,0.3787821398664931,37634607.0714727,224916.03639705683
2017-10-15,0.3795232087032437,37708996.39648204,141243.0839605794
2017-10-16,0.3769980028470738,37458324.76992776,476361.9468863647
2017-10-17,0.3873229745361236,38484251.56016671,313745.2342015895
2017-10-18,0.3975309532280502,39506565.30956779,351075.187108146
2017-10-19,0.4107233731131279,40863665.19436894,345641.2224687242
2017-10-20,0.3525202713706609,35081987.22156909,202880.54399442545
2017-10-21,0.3266857221690417,32519647.956853304,155425.57489745386
2017-10-22,0.3363136502805717,33479347.22236655,166718.5021426372
2017-10-23,0.3322052916864023,33083993.125962414,221890.7000730355
2017-10-24,0.3715797755895345,37041117.20584965,347132.90929895407
2017-10-25,0.3653900438222102,36508766.89453455,197823.0743974838
2017-10-26,0.3741426250756932,37384110.7275571,474405.5015877524
2017-10-27,0.6039374773431685,60643951.179992914,7576063.538532016
2017-10-28,0.4994046091453625,50288184.35817356,1813073.372056229
2017-10-29,0.4330123774904273,43633018.76087394,1054630.0094759297
2017-10-30,0.4310014391710959,43434941.09404187,762307.675961815
2017-10-31,0.3843226833134148,38737889.79988866,637395.6595821806
2017-11-01,0.4418720995398537,44675424.71558076,1169352.0915065194
2017-11-02,0.5710307969597552,57892294.50808403,20786980.40870362
2017-11-03,0.5140630662453861,52166807.92630057,4455641.743553346
2017-11-04,0.4833479579876999,49090480.36351037,1011643.56992008
2017-11-05,0.5049355148934416,51313475.37220291,864425.5312490952
2017-11-06,0.4920750628641005,50007039.19797783,919911.6084506623
2017-11-07,0.50647346976023,51555751.207229845,2221735.5954574198
2017-11-08,0.5476654561585639,55830251.03874218,2181686.5576698235
2017-11-09,0.6019868872043755,61912146.87298908,1863353.3992987068
2017-11-10,0.4932194337318727,50773583.35801089,1421859.7562674722
2017-11-11,0.4684268157327788,48236631.24423045,600989.0382110458
2017-11-12,0.4418798059377597,45502931.38096342,1015988.8574142596
2017-11-13,0.51396302254862,53082795.84682796,1534579.3160169844
2017-11-14,0.620833718471417,64245606.5551642,3915044.04300601
2017-11-15,0.827266771636789,85808730.6663541,18286430.3103902
2017-11-16,0.658535709474625,68437470.8034066,14484209.2593458
2017-11-17,0.631216662149832,65717405.8704087,4430420.36178532
2017-11-18,0.630694194180766,65756869.1875119,2156487.32417271
2017-11-19,0.639394237226413,66766163.266621,1864753.540024
2017-11-20,0.665834888777364,69670874.7034521,1749333.80765919
2017-11-21,0.726702577549374,76173097.165297,4685637.60198379
2017-11-22,0.747260765174294,78506586.795647,3929247.10287608
2017-11-23,0.713924622923115,75047561.4602557,6166187.84726926
2017-11-24,0.714903376309415,75166322.1784949,7147266.47816983
2017-11-25,0.743825258303207,78209976.1380287,5721921.41955518
